funcname,n,waste
Next,2,0.478439
Next,4,0.845558
Next,8,1.41397
Next,16,2.72397
Next,32,5.44631
Next,64,10.6933
Next,128,21.5474
Next,256,42.9763
Next,512,85.4646
Next,1024,171.27
Next,2048,342.425
Next,4096,682.56
Next,8192,1365.74
Next,16384,2732.19
Next,32768,5467.13
Next,65536,10918.4
First,2,0.517145
First,4,0.66865
First,8,1.00479
First,16,1.56311
First,32,2.42978
First,64,4.07752
First,128,6.33615
First,256,11.2455
First,512,17.8428
First,1024,30.084
First,2048,46.7975
First,4096,76.6691
First,8192,124.014
First,16384,203.806
First,32768,328.206
First,65536,527.043
First_decreasing,2,0.499289
First_decreasing,4,0.619539
First_decreasing,8,0.897943
First_decreasing,16,1.1478
First_decreasing,32,1.63142
First_decreasing,64,2.24628
First_decreasing,128,3.11063
First_decreasing,256,4.77753
First_decreasing,512,6.39084
First_decreasing,1024,8.67779
First_decreasing,2048,12.9025
First_decreasing,4096,18.9326
First_decreasing,8192,26.4089
First_decreasing,16384,38.089
First_decreasing,32768,48.1416
First_decreasing,65536,73.406
Best,2,1.67461
Best,4,2.74783
Best,8,5.61782
Best,16,10.5912
Best,32,19.1852
Best,64,37.051
Best,128,72.7178
Best,256,141.269
Best,512,275.448
Best,1024,543.293
Best,2048,1066.8
Best,4096,2113.28
Best,8192,4184.41
Best,16384,8340.06
Best,32768,16592.3
Best,65536,33083.9
Best_decreasing,2,0.502143
Best_decreasing,4,0.599783
Best_decreasing,8,0.817828
Best_decreasing,16,1.2573
Best_decreasing,32,1.58838
Best_decreasing,64,2.37791
Best_decreasing,128,2.94111
Best_decreasing,256,4.24788
Best_decreasing,512,6.74249
Best_decreasing,1024,9.32468
Best_decreasing,2048,13.0825
Best_decreasing,4096,17.8813
Best_decreasing,8192,29.4309
Best_decreasing,16384,31.2526
Best_decreasing,32768,48.6608
Best_decreasing,65536,72.9133
